id,value
id_0,25.341649239370586
id_1,64.87877263475895
id_2,18.75133147951174
id_3,28.974102270752493
id_4,8.68163660186379
id_5,35.382378308305995
id_6,41.52468425607907
id_7,17.567721101284157
id_8,52.42176715283861
id_9,32.40201792001043
id_10,39.12232458083486
id_11,59.78581805615465
id_12,35.008554848230865
id_13,43.35558725323187
id_14,25.210596458778113
id_15,12.430789529600826
id_16,51.55165693566915
id_17,23.818462290298573
id_18,18.355702716052072
id_19,18.989417731672003
id_20,15.465656171876903
id_21,33.86973974910381
id_22,38.52320350846375
id_23,10.271160070770865
id_24,61.249153354898496
id_25,46.05431132837977
id_26,28.856574033618386
id_27,6.490947122984995
id_28,28.643387003359074
id_29,37.936758435972436
id_30,19.121472971993633
id_31,11.046595774353797
id_32,16.81816967562424
id_33,7.198508916098875
id_34,15.34833372929558
id_35,42.480194591673396
id_36,18.875578449819393
id_37,27.355399787486512
id_38,2.2548451907711673
id_39,59.20442035298859
id_40,49.52411004000021
id_41,19.85446742429216
id_42,52.713758496101164
id_43,18.971814509706366
id_44,45.590716504047634
id_45,48.86437239216046
id_46,57.33572964941452
id_47,41.59324848489486
id_48,56.32993238760609
id_49,39.432928124037005
id_50,30.77178125937159
id_51,24.275052304941774
id_52,37.46507335229238
id_53,22.84209575195016
id_54,36.80058912602453
id_55,38.961932255622045
id_56,24.78624848136724
id_57,22.564092861915675
id_58,34.32789888081179
id_59,30.991661750569662
id_60,14.96877261503177
id_61,20.53669025096997
id_62,32.4743805033851
id_63,55.04591648834004
id_64,50.851789309145545
id_65,26.735854137253654
id_66,39.22741994396389
id_67,52.83428823447045
id_68,29.986497644183455
id_69,39.808305381914636
id_70,65.49071253823476
id_71,55.33315031569903
id_72,41.57554274161361
id_73,15.019487246130291
id_74,13.61462995196453
id_75,35.90777023422355
id_76,63.29623588075401
id_77,2.2670400305399347
id_78,40.47350103563626
id_79,42.8331427157062
id_80,8.98732035975327
id_81,22.662092431380508
id_82,5.678271839394053
id_83,29.710709333683823
id_84,7.758833146311503
id_85,5.700032895421764
id_86,16.219303563368847
id_87,10.31795012826328
id_88,21.082384451976257
id_89,27.480696977421893
id_90,35.93732330863864
id_91,11.230519931145798
id_92,12.383937773898305
id_93,7.98702520356251
id_94,38.69094103066719
id_95,15.971421470005787
id_96,16.067197296855454
id_97,9.717749682365897
id_98,11.225539191414954
id_99,4.867156242437307
id_100,9.808542502042062
id_101,17.9843413367531
id_102,12.18139318966696
id_103,8.591258432153403
id_104,12.476651998376958
id_105,37.056908025740455
id_106,26.781702982712858
id_107,6.906035650011457
id_108,16.50142533746333
id_109,14.500976389004258
id_110,13.305719984335214
id_111,17.0674882974795
id_112,15.59786706277691
id_113,27.19104344055348
id_114,18.95546896923628
id_115,16.243873683682637
id_116,4.915954810636062
id_117,46.501221714338364
id_118,25.965027685553043
id_119,0.6672000863101104
id_120,-1.1956477224631357
id_121,8.186807105347654
id_122,11.792424541435905
id_123,12.985566940726388
id_124,7.989617494120791
id_125,25.438276010913917
id_126,20.117271759201834
id_127,10.185178275910097
id_128,20.904097398464188
id_129,14.55670706766573
id_130,-0.5371303313826523
id_131,33.47385184095455
id_132,12.605250089465123
id_133,18.61881210456551
id_134,25.118688207581044
id_135,23.81240228463554
id_136,9.056004367970054
id_137,21.89411239253958
id_138,80.32741611878407
id_139,60.658269611400954
id_140,27.731382869836292
id_141,17.922432268880236
id_142,24.40658257317289
id_143,6.9200422617535295
id_144,9.841363494626926
id_145,10.120879824198713
id_146,20.55560664175022
id_147,7.4472295474258114
id_148,12.876547101012674
id_149,16.10530701727628
