id,value
id_0,23.166425427196927
id_1,60.753998408265176
id_2,20.909117091216384
id_3,28.666297743296003
id_4,10.274337699965344
id_5,24.458138333070377
id_6,42.06870739703031
id_7,17.317425188152093
id_8,48.229337192690515
id_9,26.918698564834315
id_10,34.42553802693459
id_11,61.714374385017074
id_12,37.57298347495728
id_13,32.12128057304507
id_14,25.878296996109423
id_15,16.486360474292464
id_16,54.30884837567828
id_17,19.266864238144205
id_18,13.348835466008325
id_19,14.51114608067778
id_20,16.49750094026525
id_21,27.59221473835862
id_22,35.54962739238255
id_23,16.203671653712878
id_24,62.86647249275541
id_25,40.47576452376399
id_26,22.74425454131747
id_27,12.539055343743005
id_28,25.2000256579073
id_29,27.86599321384485
id_30,13.959225079152073
id_31,10.849129204086127
id_32,16.972762419274886
id_33,13.11048230941585
id_34,14.512076874816607
id_35,47.36721602205996
id_36,21.700433460202685
id_37,23.91881359768601
id_38,14.767271105495151
id_39,59.28215457939539
id_40,43.39083231514878
id_41,31.29679046852784
id_42,49.55685199703339
id_43,19.59475513536718
id_44,36.865097988263365
id_45,50.762158822478526
id_46,63.203156284846756
id_47,36.55342685960499
id_48,50.95765957712579
id_49,33.30863399738517
id_50,30.92957505595453
id_51,20.391225965340592
id_52,38.41058555983533
id_53,22.331159363248148
id_54,33.50449755962802
id_55,39.80144816426686
id_56,24.470281961937545
id_57,20.20753994768297
id_58,32.24385690134313
id_59,32.38630224150197
id_60,10.93041895889435
id_61,29.64888898963314
id_62,28.108869696868897
id_63,51.66276714806281
id_64,51.7305202311302
id_65,30.685121919388834
id_66,35.63797824549894
id_67,53.9793197621166
id_68,34.61908527011483
id_69,37.47119699752404
id_70,63.99790657309606
id_71,56.45760378667216
id_72,38.84299053080965
id_73,20.798691936166023
id_74,14.937866132586876
id_75,31.838033518647897
id_76,62.248865520858615
id_77,10.454924621767542
id_78,40.10202811535026
id_79,42.691660181156955
id_80,11.60244952471062
id_81,18.56164165084778
id_82,6.48779120797504
id_83,34.53264689908722
id_84,8.733570357752782
id_85,10.302715926254749
id_86,17.558493038942487
id_87,7.747384760947134
id_88,22.131009692172412
id_89,18.29167693383866
id_90,28.663920367761843
id_91,13.283181649056136
id_92,13.260489915214468
id_93,15.340779238727867
id_94,32.685912421207036
id_95,15.562530342885687
id_96,18.014075038938348
id_97,10.9996341513436
id_98,9.065312757783754
id_99,7.286964585457846
id_100,8.49337994374925
id_101,18.724595872426114
id_102,11.587457551999137
id_103,13.14761884282073
id_104,11.899348153959785
id_105,29.203622370049207
id_106,19.268794419124468
id_107,12.188617721943958
id_108,21.158316292752605
id_109,13.371539688897151
id_110,9.443213635742154
id_111,11.203161648791568
id_112,17.180395238143756
id_113,20.787714429318132
id_114,14.35595804832652
id_115,14.65703108158797
id_116,8.660966052090728
id_117,32.07491071167517
id_118,25.120447423670168
id_119,7.072032023501412
id_120,-3.989001324508938
id_121,11.815863621806633
id_122,8.665016360435587
id_123,9.551440876761086
id_124,9.094443962637161
id_125,20.81893750031723
id_126,23.768694392916874
id_127,7.825304769720177
id_128,14.734114811640286
id_129,7.571310990432938
id_130,-5.784295411019403
id_131,26.602737135506345
id_132,12.377678389627448
id_133,25.54738805550855
id_134,24.118620803477672
id_135,22.196277306539567
id_136,10.99323231074722
id_137,19.877677352721477
id_138,89.02959490443303
id_139,70.0590820267361
id_140,26.897248854808577
id_141,14.065588778061981
id_142,20.44515252615032
id_143,9.26574703796074
id_144,18.13010386997704
id_145,12.841077101006384
id_146,15.632943467024155
id_147,8.986086544980214
id_148,17.614452568809426
id_149,20.054375376172942
id_150,37.889865261427445
id_151,19.82088761080761
id_152,16.474154568755715
id_153,14.03509018837046
id_154,18.11005115098401
id_155,22.621276824442607
id_156,20.341066774936433
id_157,33.47469570750246
id_158,11.822335801289281
id_159,22.333978730928344
id_160,39.117976265484195
id_161,18.97263214896299
id_162,58.78718838072841
id_163,10.208519833125226
id_164,29.697168898248105
id_165,23.15925559542502
id_166,24.554067865642764
id_167,4.9524388696088595
id_168,84.32812747665783
id_169,17.651965632358195
id_170,13.377210574763414
id_171,76.87786743899193
id_172,15.276539200126543
id_173,8.981982903277167
id_174,28.188878245875845
id_175,3.7892139496734814
id_176,12.478035572665682
id_177,24.093601276174695
id_178,22.213263580682913
id_179,25.580645610135335
id_180,36.653237989884715
id_181,35.57227691531077
id_182,29.42668026530218
id_183,15.683688826820617
id_184,9.557840077760861
id_185,38.101086967915386
id_186,32.12726460682766
id_187,30.002497298701
id_188,15.19329112806513
id_189,23.69020386329022
id_190,15.448466534969334
id_191,12.518019348331215
id_192,25.083281325636534
id_193,91.43630115564173
id_194,31.9983958497169
id_195,15.249963982954064
id_196,67.8492636849929
id_197,16.536028148585586
id_198,17.85300218727941
id_199,20.320117781028532
id_200,185.60344969043328
id_201,23.130501930654106
id_202,59.39948778028753
id_203,14.343458417239994
id_204,62.818104695726795
id_205,30.91943993230805
id_206,14.514183976978043
id_207,18.80867426705487
id_208,61.81629695262559
id_209,20.18955620045231
id_210,39.29663943106815
id_211,75.60252542696094
id_212,19.52073790548874
id_213,183.77046736017988
id_214,35.205541999473425
id_215,94.68284361692736
id_216,107.69869797408492
id_217,74.50731609833976
id_218,27.25083029156251
id_219,25.721834438433433
id_220,28.534368408724244
id_221,62.75750628399559
id_222,24.85758855936401
id_223,36.97432212028915
id_224,42.495118151375046
id_225,11.584105505507317
id_226,12.82370208105689
id_227,70.50239686453479
id_228,24.721183090343956
id_229,5.433750970107723
id_230,35.445639258296886
id_231,13.803777679501183
id_232,22.122700080634235
id_233,10.52476881650098
id_234,15.36630774421776
id_235,21.933181275951497
id_236,15.250613607598709
id_237,11.400164025413616
id_238,22.69696188340522
id_239,22.195124988741863
