id,label
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,1
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,0
540,0
541,1
542,0
543,1
544,1
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,0
